user_influence,network,metric_type,metric_value,readability,multimedia_presence,reach,longevity
0.1128,1,1,0.0018,53.21,0,3584,6
0.1164,1,1,0.0042,68.26,0,4730,10
0.1113,1,1,0.0030,25.46,0,1822,1
0.1125,1,1,0.0023,60.82,0,1966,3
0.1127,1,1,0.0018,59.3,0,2779,3
0.1057,1,1,0.0039,68.77,0,800,2
0.1134,1,1,0.0016,88.43,0,1091,12
0.1706,1,1,0.0044,76.72,0,43685,15
0.1143,1,1,0.0025,38.99,0,7155,7
0.1125,1,1,0.0018,43.9,0,405,2
0.1061,1,1,0.0060,65.05,0,20085,3
0.1129,1,1,0.0021,80.28,0,1119,3
2.9152,1,1,0.0048,42.72,0,8641091,1
0.1124,1,1,0.0016,68.26,0,164,1
0.1695,1,1,0.0090,76.72,0,43871,15
0.1131,1,1,0.0039,72.5,0,4636,8
0.1207,1,1,0.0025,43.39,0,25531,15
0.1129,1,1,0.0030,56.59,0,1709,5
0.1125,1,1,0.0023,83.66,0,3062,2
0.1126,1,1,0.0025,60.31,1,448,3
0.1144,1,1,0.0016,88.43,0,2164,11
0.1124,1,1,0.0018,60.65,1,464,1
0.1133,1,1,0.0018,77.57,0,1584,6
0.1568,1,1,0.0016,11.92,0,2152,1
0.1128,1,1,0.0025,84.17,0,736,4
0.1134,1,1,0.0016,29.01,1,3204,7
0.1125,1,1,0.0028,59.64,0,1448,1
0.1706,1,1,0.0016,76.72,0,44337,15
0.2050,1,1,0.0025,76.72,0,110634,15
0.1096,1,1,0.0021,104.34,0,1076,7
0.0964,1,1,0.0021,79.97,0,1162,3
0.1126,1,1,0.0023,38.66,0,2678,4
0.0897,1,1,0.0106,69.28,0,1610,1
0.1583,1,1,0.0016,76.72,0,43782,15
0.1025,1,1,0.0046,1.09,1,7774,2
0.1124,1,1,0.0016,72.53,0,55,1
0.1032,1,1,0.0032,38.99,0,3296,7
0.2474,1,1,0.0189,34.26,0,2052616,3
0.1132,1,1,0.0032,60.31,0,2154,3
0.1117,1,1,0.0018,88.43,0,2032,11
0.1159,1,1,0.0035,34.26,0,8828,7
0.1864,1,1,0.0076,76.72,0,140805,15
0.1706,1,1,0.0032,76.72,0,44150,15
0.1128,1,1,0.0021,92.12,0,895,3
0.0809,1,1,0.0265,54.22,0,520,1
0.0975,1,1,0.0076,55.24,0,49783,1
0.1125,1,1,0.0023,62.34,1,243,5
0.6047,1,1,0.0046,51.85,0,5247265,2
0.1128,1,1,0.0035,84.17,0,527,4
0.1126,1,1,0.0016,79.97,0,1601,3
0.1126,1,1,0.0021,65.05,0,242,9
0.1129,1,1,0.0023,42.72,0,4553,4
0.1872,1,1,0.0042,54.39,1,101142,4
0.1584,1,1,0.0025,57.61,0,37081,2
0.0942,1,1,0.0021,57.61,0,33569,1
0.1106,1,1,0.0016,30.53,1,6176,2
0.1677,1,1,0.0016,35.44,0,102406,3
0.1134,1,1,0.0025,36.28,0,1208,10
0.1146,1,1,0.0016,85.18,0,2992,15
0.1117,1,1,0.0032,60.31,0,7007,3
0.1125,1,1,0.0016,70.8,1,364,3
0.1151,1,1,0.0018,26.81,0,3514,5
0.1124,1,1,0.0030,65.05,0,908,1
0.1110,1,1,0.0016,43.73,1,1041,7
0.1156,1,1,0.0023,67.76,0,6158,14
0.1143,1,1,0.0016,88.43,0,2234,11
0.0615,1,1,0.0025,54.56,0,170144,1
0.1449,1,1,0.0030,76.72,0,45459,15
0.1125,1,1,0.0018,43.39,0,612,2
0.1706,1,1,0.0018,76.72,0,44047,15
0.1121,1,1,0.0032,65.05,0,1625,9
0.0995,1,1,0.0016,51.34,0,5309,4
0.1125,1,1,0.0060,57.61,0,495,3
0.1011,1,1,0.0016,38.99,0,5091,7
0.1128,1,1,0.0018,40.35,0,513,4
0.1127,1,1,0.0018,42.72,0,762,4
0.1104,1,1,0.0025,69.79,0,302,1
0.1094,1,1,0.0074,43.73,1,1588,1
0.1131,1,1,0.0023,73.34,0,908,7
0.1164,1,1,0.0021,68.26,0,4439,10
0.1151,1,1,0.0016,44.91,0,2774,5
0.1114,1,1,0.0028,89.75,0,2179,5
0.1059,1,1,0.0030,53.88,0,1185,1
0.1754,1,1,0.0042,60.31,0,25688,2
0.1600,1,1,0.0060,76.72,0,374880,15
0.1127,1,1,0.0016,64.04,0,1311,6
0.1129,1,1,0.0028,52.36,0,551,5
0.1060,1,1,0.0199,68.77,0,1362,1
0.1125,1,1,0.0016,33.24,0,633,2
0.1128,1,1,0.0016,92.12,0,1633,3
0.0842,1,1,0.0023,57.61,0,3692,4
0.1128,1,1,0.0046,79.97,0,2218,6
0.0931,1,1,0.0023,77.74,0,4821,2
0.1109,1,1,0.0046,80.28,0,650,3
0.1131,1,1,0.0035,60.31,0,1124,3
0.1138,1,1,0.0023,56.59,0,4054,5
0.1077,1,1,0.0028,83.66,0,531,3
0.1135,1,1,0.0016,88.43,0,1889,12
0.1136,1,1,0.0018,85.18,0,1659,3
0.1134,1,1,0.0021,43.9,0,2573,3
0.0957,1,1,0.0016,61.33,0,4556,4
0.1156,1,1,0.0021,85.18,0,7434,10
0.1126,1,1,0.0032,83.66,0,965,3
0.1629,1,1,0.0021,76.72,0,43877,15
0.1526,1,1,0.0016,41.7,0,115787,2
0.1045,1,1,0.0039,88.43,0,1437,12
0.1114,1,1,0.0030,29.86,0,1445,3
0.0514,1,1,0.0055,52.87,0,6873,1
0.1124,1,1,0.0016,55.24,1,290,1
0.1129,1,1,0.0016,52.36,0,531,5
0.1706,1,1,0.0030,76.72,0,43883,15
0.1125,1,1,0.0018,86.2,0,531,2
0.1151,1,1,0.0018,26.81,0,3244,5
0.1129,1,1,0.0023,80.28,0,654,3
0.1129,1,1,0.0021,42.72,0,5548,4
0.0832,1,1,0.0028,55.58,0,357,1
0.1126,1,1,0.0016,24.44,1,4351,1
0.1135,1,1,0.0016,88.43,0,2031,12
0.1127,1,1,0.0016,83.66,0,1169,4
0.1125,1,1,0.0023,55.58,0,558,2
0.1124,1,1,0.0018,53.88,1,187,1
0.0906,1,1,0.0023,55.58,0,2829,1
0.1055,1,1,0.0044,41.7,0,1303,1
0.1047,1,1,0.0016,51.85,0,655,1
0.1143,1,1,0.0016,37.3,0,40757,5
0.1124,1,1,0.0021,44.75,0,485,1
